Ingredient Name,Category,Function,Primary Benefits,Side Effects,Pregnancy Safe,Comedogenic Rating (0-5),pH Range,Skin Types,Key Interactions,Scientific Evidence Level,Notes
Benzoyl Peroxide,Antibacterial,Acne Treatment,"Kills acne-causing bacteria, reduces inflammatory acne, unclogs pores","Dryness, peeling, bleaches fabric",Consult doctor,0,Stable across range,"Oily, Acne-prone","Do NOT combine with retinol (deactivates it); use separate from vitamin C; follow with barrier cream",High,"2.5% as effective as 10% with fewer side effects. Rinse-off formulas for sensitive skin"
Peptides,Amino Acid Chains,Anti-aging / Repair,"Signals skin to produce collagen, firms skin, reduces fine lines, repairs barrier","Very low risk; well tolerated",Yes,0,4.0–8.0,"Mature, Dry, All types seeking anti-aging","Do NOT mix with AHA/BHA (can degrade peptides); pair with niacinamide and hyaluronic acid",Moderate,"Types: signal peptides (Matrixyl), carrier peptides (copper), neurotransmitter-inhibiting (Argireline)"
Tranexamic Acid,Synthetic Amino Acid Derivative,Brightening,"Fades stubborn melasma and PIH, brightens skin, very gentle","Rare; generally well tolerated; occasional mild irritation",Consult doctor,0,4.0–7.0,"Sensitive, Hyperpigmentation-prone, All types","Can combine with niacinamide, azelaic acid, vitamin C; mild alternative to kojic acid",Moderate,"Rising star for hyperpigmentation; 2–5% OTC; comparable to hydroquinone without the risks"
Alpha Arbutin,Brightening Agent,Brightening / Depigmentation,"Inhibits melanin production, fades dark spots, safer alternative to hydroquinone","Low risk; mild irritation in rare cases",Consult doctor,0,5.0–7.0,"All types; especially Hyperpigmentation-prone","Pairs with niacinamide and vitamin C for enhanced brightening",Moderate,"Derived from bearberry plant. Converts to hydroquinone slowly — safer profile"
Centella Asiatica (Cica),Plant Extract,Soothing / Healing,"Calms inflammation, promotes wound healing, strengthens barrier, anti-aging","Very rare; may cause contact allergy in sensitive individuals",Yes,0,5.0–7.0,"Sensitive, Acne-prone, Post-procedure, Rosacea","Pairs well with ceramides, hyaluronic acid, niacinamide",Moderate–High,"Key actives: madecassoside, asiaticoside, asiatic acid. Popular in Korean skincare"
Snail Secretion Filtrate,Biological Extract,Repair / Hydration,"Hydrates, repairs, fades scarring and pigmentation, anti-aging","Rare; some may react to animal-derived ingredient",Yes,0,5.0–6.0,"All types; Acne-prone, Scarring, Dry","Combines well with hyaluronic acid, niacinamide",Moderate,"Active components: glycoproteins, enzymes, hyaluronic acid, copper peptides, zinc"
Kojic Acid,Brightening Agent,Depigmentation,"Inhibits melanin production, fades dark spots and melasma","Skin irritation; potential contact dermatitis with prolonged use; photosensitizing",Avoid during pregnancy,1,3.5–4.5,"Hyperpigmentation-prone, Mature","Can boost with vitamin C; do NOT mix with strong AHAs",Moderate,"Derived from fungi; unstable — look for stable formulations. Limited OTC %"
Bakuchiol,Plant-derived Retinol Alternative,Anti-aging / Acne,"Mimics retinol (boosts collagen), gentler; treats acne, fades dark spots","Very well tolerated; rare mild irritation",Yes — key retinol alternative,0–1,5.0–7.0,"Sensitive, Pregnant, All types avoiding retinol","Can be combined with retinol to boost effects; pairs with rosehip oil, vitamin C",Moderate,"From Psoralea corylifolia seeds. Growing evidence base but smaller than retinol"
Mandelic Acid (AHA),Alpha Hydroxy Acid,Exfoliation / Brightening,"Exfoliates, brightens, anti-bacterial; good for darker skin tones (less risk of PIH)","Mild; gentler than glycolic; slight photosensitivity",Consult doctor,0,3.0–4.5,"All types; especially Sensitive and Darker skin tones","Compatible with niacinamide; avoid AHA stacking for beginners",Moderate,"Largest AHA molecule — slowest penetration, gentlest. Good starter acid for darker skin"
Resveratrol,Antioxidant,Anti-aging / Protection,"Powerful antioxidant, anti-inflammatory, anti-aging, protects from environmental damage","Rarely causes irritation",Yes,0,5.0–6.0,"All types; especially Mature and Urban skin","Pairs with ferulic acid and vitamin E for enhanced antioxidant protection",Moderate,"Found in grapes/berries; unstable — choose stable formulations"
Tea Tree Oil,Essential Oil,Antimicrobial / Acne,"Antimicrobial, anti-inflammatory, reduces acne","Irritation, contact dermatitis at high concentrations; must be diluted",Consult doctor — avoid high %,2,4.0–6.0,"Oily, Acne-prone","Do NOT use undiluted; pairs with aloe for soothing; caution with other actives",Moderate,"1–5% is effective OTC range; avoid eye area"
Squalane,Emollient,Moisture / Barrier,"Lightweight moisturizer, non-comedogenic, balances oil, anti-aging","Very well tolerated; rare allergy",Yes,1,Stable,"All types, including Oily (non-greasy)","Excellent vehicle for active delivery; pairs with all actives",High,"Plant-derived (olive, sugarcane) or shark-derived. Stabilized form of squalene"
Glycerin,Humectant,Hydration,"Draws moisture to skin, maintains barrier, softens skin","Rare; very well tolerated",Yes,0,4.0–8.0,"All types; especially Dry and Dehydrated","Pairs with all ingredients; foundational humectant",High,"Simple, effective, inexpensive. Concentration 1–10% in most products"
Ferulic Acid,Antioxidant / Stabilizer,Antioxidant / Stabilizer,"Stabilizes vitamin C and E, doubles antioxidant protection, anti-aging","Mild irritation in sensitive skin",Yes,0,Below 3.5,"All types; especially Mature and UV-exposed","Essential pairing with vitamin C + E; boosts SPF protection",High,"Does not work effectively alone — usually formulated with C+E (e.g., SkinCeuticals CE Ferulic)"
Polyglutamic Acid,Polypeptide,Hydration,"Holds more water than HA (4–5x), plumps, reduces transepidermal water loss","Very well tolerated",Yes,0,4.0–7.0,"All types; especially Dry and Dehydrated","Can replace or layer with hyaluronic acid; compatible with all actives",Moderate,"Derived from fermented soybeans (natto). Forming moisture film over HA layer"
SPF / Sunscreen,UV Filter,Photoprotection,"Prevents UV damage, aging, skin cancer, hyperpigmentation worsening","Some chemical filters cause irritation; mineral (zinc oxide, titanium dioxide) gentler",Yes — mineral preferred,0–1 (mineral),N/A — final step,"All types — ESSENTIAL for all","Apply last in AM routine; reapply every 2 hrs; neutralizes many active benefits without it",High,"Mineral (physical): zinc oxide, titanium dioxide. Chemical: avobenzone, tinosorb, etc."
