Product Name,Brand,Category,Key Ingredients,Full Ingredient Highlights,Skin Type,Primary Benefits,Side Effects / Cautions,Rating (5),Price Range (USD),Size,Pregnancy Safe,Comedogenic Risk,Routine Step,Frequency,Key Interactions / Notes,Where to Buy
Cetaphil Gentle Skin Cleanser,Cetaphil,Cleanser,"Glycerin, Niacinamide, Panthenol","Glycerin, Niacinamide, Vitamin B5, Allantoin","Sensitive, Dry, All types","Gentle cleanse, non-stripping, hydrating while cleansing","Slightly thick texture; rinse or wipe off",4.6,$14,20oz (591ml),Yes,Low,Cleanser,Morning + Evening,"Can be used with or without water; fragrance-free; suitable for eczema and post-procedure",Drugstore / Amazon
Neutrogena Hydro Boost Water Gel,Neutrogena,Moisturizer,"Hyaluronic Acid, Dimethicone","Hyaluronic Acid, Dimethicone, Glycerin","Oily, Combination, Normal, Dehydrated","Lightweight hydration, non-greasy, absorbs quickly","May not be enough for very dry skin in winter",4.5,$22,1.7oz (48g),Yes,Low–Moderate,Moisturizer,Morning + Evening,"Good base under SPF; affordable drugstore HA moisturizer benchmark",Drugstore / Amazon / Walmart
EltaMD UV Clear Broad-Spectrum SPF 46,EltaMD,Sunscreen,"Zinc Oxide 9.0%, Octinoxate 7.5%, Niacinamide","Zinc Oxide, Octinoxate, Niacinamide, Lactic Acid","Oily, Acne-prone, Sensitive, Rosacea","UV protection, calms redness, oil-control, non-comedogenic","Contains octinoxate (chemical); mineral-chemical hybrid",4.8,$40,1.7oz (48g),Yes — consult on octinoxate,Low,SPF (final AM step),Every morning,"Cult favourite among dermatologists; great for acne-prone skin; invisible finish",Amazon / Dermstore / EltaMD website
Sunday Riley Good Genes Lactic Acid Treatment,Sunday Riley,AHA Serum,Lactic Acid,"Lactic Acid, Licorice Root Extract, Lemongrass","Normal, Dry, Sensitive, Mature","Resurfacing, brightening, smoothing, hydrating","Mild tingling; photosensitivity",4.6,$85,1.01oz (30ml),Consult doctor — AHA,Low,Treatment (PM; AM with SPF),2–3x/week,"More hydrating than glycolic; great for beginners to AHAs",Sephora / Sunday Riley website
Cosrx Advanced Snail 96 Mucin Power Essence,COSRX,Essence,Snail Secretion Filtrate 96%,"Snail Secretion Filtrate, Sodium Hyaluronate, Allantoin","All types; Acne-prone, Dry, Scarring","Hydrates, repairs, fades acne scars, anti-aging, soothes","Very well tolerated; sticky texture initially",4.7,$25,3.38oz (100ml),Yes,Low,Essence (after toner),Morning + Evening,"Excellent for post-acne healing; lightweight; pairs with any moisturizer",Amazon / Soko Glam / YesStyle
COSRX Salicylic Acid Daily Gentle Cleanser,COSRX,Cleanser,Salicylic Acid 0.5%,"Salicylic Acid, White Willow Bark Extract, Tea Tree Leaf Water","Oily, Acne-prone, Combination","Unclogs pores, removes excess oil, gentle daily acne cleanser","Mild; avoid if very dry skin",4.4,$14,5.07oz (150ml),Consult — BHA,Low,Cleanser,Morning + Evening,"Rinse-off format — lower risk than leave-on; good starter BHA product",Amazon / YesStyle / COSRX website
Cetaphil Moisturizing Lotion,Cetaphil,Moisturizer,"Glycerin, Petrolatum, Dimethicone","Glycerin, Petrolatum, Dimethicone","Dry, Sensitive, Normal, All","Lightweight all-body moisturizer, non-greasy, restores barrier","Light fragrance in some versions; petrolatum may feel heavy",4.5,$13,16oz (473ml),Yes,Low,Moisturizer,Morning + Evening,"Body + face use; dermatologist recommended; affordable",Drugstore / Amazon
The INKEY List Retinol Serum,The INKEY List,Retinol,Retinol 1%; Retinyl Propionate 0.5%; Squalane,"Retinol, Retinyl Propionate, Squalane","Normal, Aging, Oily","Reduces fine lines, cell turnover, anti-aging","Possible dryness/peeling; start slowly",4.3,$11,30ml,No,Low,Treatment (PM only),2–3x/week (build up),"Affordable retinol alternative to The Ordinary; contains precursor retinyl propionate for gentler onboarding",ASOS / Sephora / INKEY List website
Isntree Hyaluronic Acid Toner,Isntree,Toner,"Hyaluronic Acid (8 types), Centella Asiatica","8 weights of Hyaluronic Acid, Centella Asiatica, Betaine","Dry, Dehydrated, Sensitive, All","Intense multi-level hydration, calming, skin prep","Very well tolerated",4.7,$22,200ml,Yes,Low,Toner (after cleanse),Morning + Evening,"Apply by hand patting for absorption; great first-step hydration; Korean skincare cult product",Amazon / YesStyle / Soko Glam
La Roche-Posay Effaclar Duo,La Roche-Posay,Spot Treatment,"Benzoyl Peroxide 5.5%, Lipo-Hydroxy Acid","Benzoyl Peroxide, Lipo-Hydroxy Acid (LHA), Niacinamide","Acne-prone, Oily","Targets active breakouts, unclogs pores, reduces PIH","Bleaches fabrics; drying if overused; avoid with retinol",4.5,$30,1.35oz (40ml),Consult doctor,Low,Spot treatment or targeted,Daily (affected areas),"Apply only on blemishes initially; fragrance-free; contains niacinamide for post-acne calming",Ulta / LRP website / Amazon
Glow Recipe Watermelon Glow Niacinamide Dew Drops,Glow Recipe,Serum / Highlighter,"Niacinamide 3%, Hyaluronic Acid, Watermelon Extract","Niacinamide, Hyaluronic Acid, Watermelon Extract","Dull, Dehydrated, Normal, Combination","Brightens, hydrates, adds dewy glow, mild pore-minimizing","Light fragrance; lower niacinamide % than clinical products",4.4,$42,40ml,Yes,Low,Serum,Morning + Evening,"More cosmetically elegant than clinical serums; great for dry-combo skin seeking glow",Sephora / Glow Recipe website
Aquaphor Healing Ointment,Beiersdorf (Aquaphor),Occlusive / Healing,"Petrolatum 41%, Mineral Oil, Ceresin","Petrolatum, Mineral Oil, Ceresin, Lanolin Alcohol, Glycerin","Dry, Sensitive, Cracked Skin, Post-procedure","Seals in moisture, heals cracked/chapped skin, barrier protection","Heavy for daily face use; lanolin allergy possible; not for oily/acne skin",4.8,$14,3.5oz (99g),Yes,High — occlusive,Final step (skin cycling recovery night),As needed / nightly (dry skin),"Holy grail for dry skin; used as slug (final occlusive layer); avoid on acne-prone skin",Drugstore / Amazon
Tatcha The Water Cream,Tatcha,Moisturizer,"Japanese Wild Rose, Hadasei-3, Niacinamide","Japanese Wild Rose, Algae, Hyaluronic Acid, Niacinamide","Oily, Combination","Oil-free, pore-minimizing, lightweight, mattifying hydration","Expensive; fragrance in formulation",4.5,$72,1.7oz (50ml),Yes,Low,Moisturizer,Morning + Evening,"Iconic luxury skincare; water gel texture; great for oily skin in hot climates",Sephora / Tatcha website
Murad Retinol Youth Renewal Serum,Murad,Retinol Serum,"Retinol, Retinyl Propionate, Hydroxypinacolone Retinoate","Retinol, Retinyl Propionate, HPR, Niacinamide","Mature, Dry, Normal","Advanced anti-aging, reduces deep wrinkles, firms skin","Retinoid precautions: sun sensitivity, peeling",4.5,$102,1oz (30ml),No,Low,Treatment (PM only),2–4x/week (build up),"3-retinoid system for high efficacy with reduced irritation; premium price",Sephora / Murad website / Ulta
Biossance Squalane + Vitamin C Rose Oil,Biossance,Facial Oil,"Squalane, Vitamin C, Rose Hip Seed Oil","Squalane, Ethyl Ascorbic Acid (Vit C), Rosehip Oil","Dry, Mature, Dull","Brightening, anti-aging, deep nourishment, radiance","Rosehip oil may trigger acne in prone skin",4.4,$72,30ml,Yes,Moderate (rosehip),Facial Oil (before moisturizer or mixed),PM or AM with SPF,"Stable form of vitamin C; non-greasy squalane base; clean beauty positioning",Sephora / Biossance website
COSRX Low pH Good Morning Gel Cleanser,COSRX,Cleanser,"Tea Tree Leaf Water, BHA (Betaine Salicylate)","Tea Tree Leaf Water, Betaine Salicylate (BHA), Low pH Formula","Oily, Acne-prone, Combination","Gentle low pH cleanse, removes impurities, primes skin for actives","Slight lather; not for very dry or sensitive skin",4.5,$12,5.07oz (150ml),Consult,Low,Cleanser,Morning (PM optional),"Low pH preserves acid mantle and primes skin for BHA/AHA actives; cult Korean skincare cleanser",Amazon / YesStyle / Soko Glam
Olay Regenerist Micro-Sculpting Cream,Olay,Moisturizer,"Niacinamide, Amino-Peptide Complex II, Hyaluronic Acid","Niacinamide, Amino-Peptides, Hyaluronic Acid","Normal, Dry, Mature","Anti-aging, hydration, firms skin, reduces fine lines","Contains fragrance",4.5,$25,1.7oz (50g),Yes,Low–Moderate,Moisturizer,Morning + Evening,"Budget-friendly anti-aging moisturizer; consistently ranks against luxury alternatives in studies",Drugstore / Amazon / Walmart
COSRX Acne Pimple Master Patch,COSRX,Spot Treatment,Hydrocolloid,"Hydrocolloid","Acne-prone","Absorbs pus from whiteheads overnight, protects blemish from picking","Doesn't work on cystic/blind pimples",4.8,$11,24 patches,Yes,None,Spot treatment (overnight),As needed,"Apply on popped or whitehead blemishes; transparent; can wear under makeup; game changer for picking habits",Amazon / YesStyle / COSRX website
Glossier Futuredew,Glossier,Serum Oil,"Rosehip Seed Oil, Sea Buckthorn Oil, Squalane","Rosehip Oil, Sea Buckthorn Oil, Squalane, Vitamin E","Normal, Dry, Dull","Dewy glow, lightweight oil, radiance boost","Rosehip oil comedogenic risk for acne-prone",4.3,$38,25ml,Yes,Moderate,Serum-Oil (before moisturizer),Morning + Evening,"Mix with moisturizer or use alone for glassy skin look",Glossier website
First Aid Beauty Ultra Repair Cream,First Aid Beauty,Moisturizer,"Colloidal Oatmeal, Shea Butter, Ceramides","Colloidal Oatmeal, Shea Butter, Ceramides, Allantoin","Dry, Sensitive, Eczema-prone","Intensive repair, calms redness and itching, barrier restoration","Thick texture; may be too heavy for oily skin",4.7,$38,6oz (170g),Yes,Low–Moderate,Moisturizer,Morning + Evening,"Oat-based formulation certified for eczema; fragrance-free; loved for compromised skin",Ulta / Sephora / FAB website
The Ordinary Alpha Arbutin 2% + HA,The Ordinary,Brightening Serum,"Alpha Arbutin 2%, Hyaluronic Acid","Alpha Arbutin, Hyaluronic Acid","All types; Hyperpigmentation","Fades dark spots, brightens, hydrates","Very well tolerated; results take 4–8 weeks",4.4,$10,30ml,Consult,Low,Serum,Morning + Evening,"Layer before moisturizer; pair with vitamin C for enhanced brightening; affordable alternative to higher-end brightening serums",Cult Beauty / ASOS / The Ordinary website
